seed,episode,decision_step,source,target,gate_value,communicated,communication_cost
1001,1,0,A,B,0.6202,True,0.0100
1001,1,0,B,A,0.6202,True,0.0100
1001,1,0,A,C,0.6202,True,0.0100
1001,1,0,C,A,0.6202,True,0.0100
1001,1,0,B,D,0.6202,True,0.0100
1001,1,0,D,B,0.6202,True,0.0100
1001,1,0,C,D,0.6202,True,0.0100
1001,1,0,D,C,0.6202,True,0.0100
1001,1,1,A,B,0.6119,True,0.0100
1001,1,1,B,A,0.6135,True,0.0100
1001,1,1,A,C,0.6146,True,0.0100
1001,1,1,C,A,0.6190,True,0.0100
1001,1,1,B,D,0.6104,True,0.0100
1001,1,1,D,B,0.6145,True,0.0100
1001,1,1,C,D,0.6160,True,0.0100
1001,1,1,D,C,0.6173,True,0.0100
1001,1,2,A,B,0.5876,True,0.0100
1001,1,2,B,A,0.5960,True,0.0100
1001,1,2,A,C,0.5904,True,0.0100
1001,1,2,C,A,0.5952,True,0.0100
1001,1,2,B,D,0.5929,True,0.0100
1001,1,2,D,B,0.5886,True,0.0100
1001,1,2,C,D,0.5923,True,0.0100
1001,1,2,D,C,0.5915,True,0.0100
1001,1,3,A,B,0.5855,True,0.0100
1001,1,3,B,A,0.5869,True,0.0100
1001,1,3,A,C,0.5881,True,0.0100
1001,1,3,C,A,0.5892,True,0.0100
1001,1,3,B,D,0.5856,True,0.0100
1001,1,3,D,B,0.5835,True,0.0100
1001,1,3,C,D,0.5878,True,0.0100
1001,1,3,D,C,0.5861,True,0.0100
1001,1,4,A,B,0.6016,True,0.0100
1001,1,4,B,A,0.6114,True,0.0100
1001,1,4,A,C,0.6138,True,0.0100
1001,1,4,C,A,0.6111,True,0.0100
1001,1,4,B,D,0.5973,True,0.0100
1001,1,4,D,B,0.6021,True,0.0100
1001,1,4,C,D,0.5973,True,0.0100
1001,1,4,D,C,0.6144,True,0.0100
1001,1,5,A,B,0.5959,True,0.0100
1001,1,5,B,A,0.5971,True,0.0100
1001,1,5,A,C,0.6098,True,0.0100
1001,1,5,C,A,0.6194,True,0.0100
1001,1,5,B,D,0.5599,True,0.0100
1001,1,5,D,B,0.6083,True,0.0100
1001,1,5,C,D,0.5801,True,0.0100
1001,1,5,D,C,0.6227,True,0.0100
1001,1,6,A,B,0.5964,True,0.0100
1001,1,6,B,A,0.5751,True,0.0100
1001,1,6,A,C,0.6111,True,0.0100
1001,1,6,C,A,0.6000,True,0.0100
1001,1,6,B,D,0.5804,True,0.0100
1001,1,6,D,B,0.5678,True,0.0100
1001,1,6,C,D,0.6062,True,0.0100
1001,1,6,D,C,0.5838,True,0.0100
1001,1,7,A,B,0.5976,True,0.0100
1001,1,7,B,A,0.5810,True,0.0100
1001,1,7,A,C,0.5822,True,0.0100
1001,1,7,C,A,0.5890,True,0.0100
1001,1,7,B,D,0.5864,True,0.0100
1001,1,7,D,B,0.5941,True,0.0100
1001,1,7,C,D,0.5951,True,0.0100
1001,1,7,D,C,0.5768,True,0.0100
1001,1,8,A,B,0.6151,True,0.0100
1001,1,8,B,A,0.6290,True,0.0100
1001,1,8,A,C,0.6115,True,0.0100
1001,1,8,C,A,0.6046,True,0.0100
1001,1,8,B,D,0.6023,True,0.0100
1001,1,8,D,B,0.6155,True,0.0100
1001,1,8,C,D,0.5808,True,0.0100
1001,1,8,D,C,0.6121,True,0.0100
1001,1,9,A,B,0.6087,True,0.0100
1001,1,9,B,A,0.6153,True,0.0100
1001,1,9,A,C,0.6016,True,0.0100
1001,1,9,C,A,0.6233,True,0.0100
1001,1,9,B,D,0.6071,True,0.0100
1001,1,9,D,B,0.6248,True,0.0100
1001,1,9,C,D,0.6144,True,0.0100
1001,1,9,D,C,0.6183,True,0.0100
1001,1,10,A,B,0.5783,True,0.0100
1001,1,10,B,A,0.6169,True,0.0100
1001,1,10,A,C,0.5919,True,0.0100
1001,1,10,C,A,0.6048,True,0.0100
1001,1,10,B,D,0.6073,True,0.0100
1001,1,10,D,B,0.5903,True,0.0100
1001,1,10,C,D,0.5952,True,0.0100
1001,1,10,D,C,0.6035,True,0.0100
1001,1,11,A,B,0.5941,True,0.0100
1001,1,11,B,A,0.5836,True,0.0100
1001,1,11,A,C,0.5908,True,0.0100
1001,1,11,C,A,0.6046,True,0.0100
1001,1,11,B,D,0.5886,True,0.0100
1001,1,11,D,B,0.5867,True,0.0100
1001,1,11,C,D,0.6088,True,0.0100
1001,1,11,D,C,0.5838,True,0.0100
1001,1,12,A,B,0.6203,True,0.0100
1001,1,12,B,A,0.6166,True,0.0100
1001,1,12,A,C,0.5993,True,0.0100
1001,1,12,C,A,0.6349,True,0.0100
1001,1,12,B,D,0.6109,True,0.0100
1001,1,12,D,B,0.6101,True,0.0100
1001,1,12,C,D,0.6287,True,0.0100
1001,1,12,D,C,0.5912,True,0.0100
1001,1,13,A,B,0.6110,True,0.0100
1001,1,13,B,A,0.6169,True,0.0100
1001,1,13,A,C,0.5967,True,0.0100
1001,1,13,C,A,0.6141,True,0.0100
1001,1,13,B,D,0.6042,True,0.0100
1001,1,13,D,B,0.6169,True,0.0100
1001,1,13,C,D,0.6010,True,0.0100
1001,1,13,D,C,0.6019,True,0.0100
1001,1,14,A,B,0.5861,True,0.0100
1001,1,14,B,A,0.6047,True,0.0100
1001,1,14,A,C,0.5632,True,0.0100
1001,1,14,C,A,0.6039,True,0.0100
1001,1,14,B,D,0.6028,True,0.0100
1001,1,14,D,B,0.6045,True,0.0100
1001,1,14,C,D,0.6034,True,0.0100
1001,1,14,D,C,0.5818,True,0.0100
1001,1,15,A,B,0.5943,True,0.0100
1001,1,15,B,A,0.5852,True,0.0100
1001,1,15,A,C,0.5638,True,0.0100
1001,1,15,C,A,0.5684,True,0.0100
1001,1,15,B,D,0.5913,True,0.0100
1001,1,15,D,B,0.6143,True,0.0100
1001,1,15,C,D,0.5722,True,0.0100
1001,1,15,D,C,0.5840,True,0.0100
1001,1,16,A,B,0.6152,True,0.0100
1001,1,16,B,A,0.6096,True,0.0100
1001,1,16,A,C,0.5845,True,0.0100
1001,1,16,C,A,0.6169,True,0.0100
1001,1,16,B,D,0.6047,True,0.0100
1001,1,16,D,B,0.6182,True,0.0100
1001,1,16,C,D,0.6126,True,0.0100
1001,1,16,D,C,0.5857,True,0.0100
1001,1,17,A,B,0.6090,True,0.0100
1001,1,17,B,A,0.6221,True,0.0100
1001,1,17,A,C,0.5954,True,0.0100
1001,1,17,C,A,0.6084,True,0.0100
1001,1,17,B,D,0.5894,True,0.0100
1001,1,17,D,B,0.6329,True,0.0100
1001,1,17,C,D,0.5763,True,0.0100
1001,1,17,D,C,0.6221,True,0.0100
1001,1,18,A,B,0.5892,True,0.0100
1001,1,18,B,A,0.6024,True,0.0100
1001,1,18,A,C,0.5824,True,0.0100
1001,1,18,C,A,0.5772,True,0.0100
1001,1,18,B,D,0.6074,True,0.0100
1001,1,18,D,B,0.5936,True,0.0100
1001,1,18,C,D,0.5824,True,0.0100
1001,1,18,D,C,0.5853,True,0.0100
1001,1,19,A,B,0.5775,True,0.0100
1001,1,19,B,A,0.5674,True,0.0100
1001,1,19,A,C,0.5773,True,0.0100
1001,1,19,C,A,0.5646,True,0.0100
1001,1,19,B,D,0.6107,True,0.0100
1001,1,19,D,B,0.5649,True,0.0100
1001,1,19,C,D,0.6039,True,0.0100
1001,1,19,D,C,0.5661,True,0.0100
1001,1,20,A,B,0.5863,True,0.0100
1001,1,20,B,A,0.6194,True,0.0100
1001,1,20,A,C,0.5973,True,0.0100
1001,1,20,C,A,0.6157,True,0.0100
1001,1,20,B,D,0.6373,True,0.0100
1001,1,20,D,B,0.6076,True,0.0100
1001,1,20,C,D,0.6351,True,0.0100
1001,1,20,D,C,0.6197,True,0.0100
1001,1,21,A,B,0.5795,True,0.0100
1001,1,21,B,A,0.5987,True,0.0100
1001,1,21,A,C,0.5855,True,0.0100
1001,1,21,C,A,0.6153,True,0.0100
1001,1,21,B,D,0.6105,True,0.0100
1001,1,21,D,B,0.6152,True,0.0100
1001,1,21,C,D,0.6284,True,0.0100
1001,1,21,D,C,0.6225,True,0.0100
1001,1,22,A,B,0.5693,True,0.0100
1001,1,22,B,A,0.5780,True,0.0100
1001,1,22,A,C,0.5686,True,0.0100
1001,1,22,C,A,0.5827,True,0.0100
1001,1,22,B,D,0.5997,True,0.0100
1001,1,22,D,B,0.5946,True,0.0100
1001,1,22,C,D,0.6054,True,0.0100
1001,1,22,D,C,0.5936,True,0.0100
1001,1,23,A,B,0.5896,True,0.0100
1001,1,23,B,A,0.5736,True,0.0100
1001,1,23,A,C,0.5861,True,0.0100
1001,1,23,C,A,0.5826,True,0.0100
1001,1,23,B,D,0.6001,True,0.0100
1001,1,23,D,B,0.5696,True,0.0100
1001,1,23,C,D,0.6101,True,0.0100
1001,1,23,D,C,0.5663,True,0.0100
1001,1,24,A,B,0.5979,True,0.0100
1001,1,24,B,A,0.6037,True,0.0100
1001,1,24,A,C,0.5960,True,0.0100
1001,1,24,C,A,0.6284,True,0.0100
1001,1,24,B,D,0.6229,True,0.0100
1001,1,24,D,B,0.5896,True,0.0100
1001,1,24,C,D,0.6473,True,0.0100
1001,1,24,D,C,0.5887,True,0.0100
1001,1,25,A,B,0.5873,True,0.0100
1001,1,25,B,A,0.6098,True,0.0100
1001,1,25,A,C,0.5935,True,0.0100
1001,1,25,C,A,0.6280,True,0.0100
1001,1,25,B,D,0.6011,True,0.0100
1001,1,25,D,B,0.5907,True,0.0100
1001,1,25,C,D,0.6194,True,0.0100
1001,1,25,D,C,0.5992,True,0.0100
1001,1,26,A,B,0.5597,True,0.0100
1001,1,26,B,A,0.5982,True,0.0100
1001,1,26,A,C,0.5597,True,0.0100
1001,1,26,C,A,0.6133,True,0.0100
1001,1,26,B,D,0.6020,True,0.0100
1001,1,26,D,B,0.5624,True,0.0100
1001,1,26,C,D,0.6159,True,0.0100
1001,1,26,D,C,0.5616,True,0.0100
1001,1,27,A,B,0.5723,True,0.0100
1001,1,27,B,A,0.5752,True,0.0100
1001,1,27,A,C,0.5978,True,0.0100
1001,1,27,C,A,0.5714,True,0.0100
1001,1,27,B,D,0.5970,True,0.0100
1001,1,27,D,B,0.5611,True,0.0100
1001,1,27,C,D,0.5903,True,0.0100
1001,1,27,D,C,0.5862,True,0.0100
1001,1,28,A,B,0.5875,True,0.0100
1001,1,28,B,A,0.6091,True,0.0100
1001,1,28,A,C,0.6159,True,0.0100
1001,1,28,C,A,0.6010,True,0.0100
1001,1,28,B,D,0.6057,True,0.0100
1001,1,28,D,B,0.6050,True,0.0100
1001,1,28,C,D,0.5973,True,0.0100
1001,1,28,D,C,0.6310,True,0.0100
1001,1,29,A,B,0.5914,True,0.0100
1001,1,29,B,A,0.6071,True,0.0100
1001,1,29,A,C,0.6090,True,0.0100
1001,1,29,C,A,0.6156,True,0.0100
1001,1,29,B,D,0.5928,True,0.0100
1001,1,29,D,B,0.6201,True,0.0100
1001,1,29,C,D,0.5988,True,0.0100
1001,1,29,D,C,0.6384,True,0.0100
1001,1,30,A,B,0.5764,True,0.0100
1001,1,30,B,A,0.5627,True,0.0100
1001,1,30,A,C,0.6049,True,0.0100
1001,1,30,C,A,0.5619,True,0.0100
1001,1,30,B,D,0.5883,True,0.0100
1001,1,30,D,B,0.5507,True,0.0100
1001,1,30,C,D,0.5876,True,0.0100
1001,1,30,D,C,0.5743,True,0.0100
1001,1,31,A,B,0.5725,True,0.0100
1001,1,31,B,A,0.5430,True,0.0100
1001,1,31,A,C,0.5893,True,0.0100
1001,1,31,C,A,0.5517,True,0.0100
1001,1,31,B,D,0.5726,True,0.0100
1001,1,31,D,B,0.5510,True,0.0100
1001,1,31,C,D,0.5792,True,0.0100
1001,1,31,D,C,0.5661,True,0.0100
1001,1,32,A,B,0.6025,True,0.0100
1001,1,32,B,A,0.5884,True,0.0100
1001,1,32,A,C,0.6131,True,0.0100
1001,1,32,C,A,0.6106,True,0.0100
1001,1,32,B,D,0.5893,True,0.0100
1001,1,32,D,B,0.6121,True,0.0100
1001,1,32,C,D,0.6089,True,0.0100
1001,1,32,D,C,0.6259,True,0.0100
1001,1,33,A,B,0.5961,True,0.0100
1001,1,33,B,A,0.6070,True,0.0100
1001,1,33,A,C,0.6076,True,0.0100
1001,1,33,C,A,0.6255,True,0.0100
1001,1,33,B,D,0.5800,True,0.0100
1001,1,33,D,B,0.6057,True,0.0100
1001,1,33,C,D,0.5949,True,0.0100
1001,1,33,D,C,0.6200,True,0.0100
1001,1,34,A,B,0.6061,True,0.0100
1001,1,34,B,A,0.5936,True,0.0100
1001,1,34,A,C,0.5961,True,0.0100
1001,1,34,C,A,0.6012,True,0.0100
1001,1,34,B,D,0.5900,True,0.0100
1001,1,34,D,B,0.5888,True,0.0100
1001,1,34,C,D,0.5938,True,0.0100
1001,1,34,D,C,0.5753,True,0.0100
1001,1,35,A,B,0.6391,True,0.0100
1001,1,35,B,A,0.5807,True,0.0100
1001,1,35,A,C,0.6197,True,0.0100
1001,1,35,C,A,0.5854,True,0.0100
1001,1,35,B,D,0.5898,True,0.0100
1001,1,35,D,B,0.6034,True,0.0100
1001,1,35,C,D,0.5907,True,0.0100
1001,1,35,D,C,0.5811,True,0.0100
1001,1,36,A,B,0.6444,True,0.0100
1001,1,36,B,A,0.6235,True,0.0100
1001,1,36,A,C,0.6257,True,0.0100
1001,1,36,C,A,0.6564,True,0.0100
1001,1,36,B,D,0.6144,True,0.0100
1001,1,36,D,B,0.6233,True,0.0100
1001,1,36,C,D,0.6440,True,0.0100
1001,1,36,D,C,0.6017,True,0.0100
1001,1,37,A,B,0.6171,True,0.0100
1001,1,37,B,A,0.6319,True,0.0100
1001,1,37,A,C,0.6071,True,0.0100
1001,1,37,C,A,0.6479,True,0.0100
1001,1,37,B,D,0.6291,True,0.0100
1001,1,37,D,B,0.6381,True,0.0100
1001,1,37,C,D,0.6410,True,0.0100
1001,1,37,D,C,0.6285,True,0.0100
1001,1,38,A,B,0.6064,True,0.0100
1001,1,38,B,A,0.6091,True,0.0100
1001,1,38,A,C,0.5930,True,0.0100
1001,1,38,C,A,0.6194,True,0.0100
1001,1,38,B,D,0.6328,True,0.0100
1001,1,38,D,B,0.5806,True,0.0100
1001,1,38,C,D,0.6412,True,0.0100
1001,1,38,D,C,0.5610,True,0.0100
1001,1,39,A,B,0.6068,True,0.0100
1001,1,39,B,A,0.5799,True,0.0100
1001,1,39,A,C,0.6028,True,0.0100
1001,1,39,C,A,0.5900,True,0.0100
1001,1,39,B,D,0.6027,True,0.0100
1001,1,39,D,B,0.6100,True,0.0100
1001,1,39,C,D,0.6091,True,0.0100
1001,1,39,D,C,0.6028,True,0.0100
1001,1,40,A,B,0.6027,True,0.0100
1001,1,40,B,A,0.6298,True,0.0100
1001,1,40,A,C,0.6178,True,0.0100
1001,1,40,C,A,0.6403,True,0.0100
1001,1,40,B,D,0.6131,True,0.0100
1001,1,40,D,B,0.6447,True,0.0100
1001,1,40,C,D,0.6248,True,0.0100
1001,1,40,D,C,0.6587,True,0.0100
1001,1,41,A,B,0.5771,True,0.0100
1001,1,41,B,A,0.6254,True,0.0100
1001,1,41,A,C,0.6014,True,0.0100
1001,1,41,C,A,0.6282,True,0.0100
1001,1,41,B,D,0.6103,True,0.0100
1001,1,41,D,B,0.6242,True,0.0100
1001,1,41,C,D,0.6112,True,0.0100
1001,1,41,D,C,0.6520,True,0.0100
1001,1,42,A,B,0.5704,True,0.0100
1001,1,42,B,A,0.5912,True,0.0100
1001,1,42,A,C,0.6006,True,0.0100
1001,1,42,C,A,0.5753,True,0.0100
1001,1,42,B,D,0.5859,True,0.0100
1001,1,42,D,B,0.5872,True,0.0100
1001,1,42,C,D,0.5693,True,0.0100
1001,1,42,D,C,0.6200,True,0.0100
1001,1,43,A,B,0.5944,True,0.0100
1001,1,43,B,A,0.5619,True,0.0100
1001,1,43,A,C,0.6159,True,0.0100
1001,1,43,C,A,0.5744,True,0.0100
1001,1,43,B,D,0.5408,True,0.0100
1001,1,43,D,B,0.5940,True,0.0100
1001,1,43,C,D,0.5552,True,0.0100
1001,1,43,D,C,0.6147,True,0.0100
1001,1,44,A,B,0.6112,True,0.0100
1001,1,44,B,A,0.6237,True,0.0100
1001,1,44,A,C,0.6264,True,0.0100
1001,1,44,C,A,0.6260,True,0.0100
1001,1,44,B,D,0.6123,True,0.0100
1001,1,44,D,B,0.5947,True,0.0100
1001,1,44,C,D,0.6143,True,0.0100
1001,1,44,D,C,0.6108,True,0.0100
1001,1,45,A,B,0.5898,True,0.0100
1001,1,45,B,A,0.6271,True,0.0100
1001,1,45,A,C,0.5876,True,0.0100
1001,1,45,C,A,0.6493,True,0.0100
1001,1,45,B,D,0.6072,True,0.0100
1001,1,45,D,B,0.6079,True,0.0100
1001,1,45,C,D,0.6241,True,0.0100
1001,1,45,D,C,0.6098,True,0.0100
1001,1,46,A,B,0.5592,True,0.0100
1001,1,46,B,A,0.6013,True,0.0100
1001,1,46,A,C,0.5605,True,0.0100
1001,1,46,C,A,0.5978,True,0.0100
1001,1,46,B,D,0.6298,True,0.0100
1001,1,46,D,B,0.5724,True,0.0100
1001,1,46,C,D,0.6303,True,0.0100
1001,1,46,D,C,0.5727,True,0.0100
1001,1,47,A,B,0.5934,True,0.0100
1001,1,47,B,A,0.5807,True,0.0100
1001,1,47,A,C,0.5922,True,0.0100
1001,1,47,C,A,0.5902,True,0.0100
1001,1,47,B,D,0.6104,True,0.0100
1001,1,47,D,B,0.5822,True,0.0100
1001,1,47,C,D,0.6239,True,0.0100
1001,1,47,D,C,0.5783,True,0.0100
1001,1,48,A,B,0.5967,True,0.0100
1001,1,48,B,A,0.6186,True,0.0100
1001,1,48,A,C,0.6034,True,0.0100
1001,1,48,C,A,0.6426,True,0.0100
1001,1,48,B,D,0.6292,True,0.0100
1001,1,48,D,B,0.6238,True,0.0100
1001,1,48,C,D,0.6598,True,0.0100
1001,1,48,D,C,0.6385,True,0.0100
1001,1,49,A,B,0.5869,True,0.0100
1001,1,49,B,A,0.6069,True,0.0100
1001,1,49,A,C,0.5771,True,0.0100
1001,1,49,C,A,0.6533,True,0.0100
1001,1,49,B,D,0.5888,True,0.0100
1001,1,49,D,B,0.6419,True,0.0100
1001,1,49,C,D,0.6393,True,0.0100
1001,1,49,D,C,0.6389,True,0.0100
1001,1,50,A,B,0.5739,True,0.0100
1001,1,50,B,A,0.5897,True,0.0100
1001,1,50,A,C,0.5670,True,0.0100
1001,1,50,C,A,0.6094,True,0.0100
1001,1,50,B,D,0.5829,True,0.0100
1001,1,50,D,B,0.6190,True,0.0100
1001,1,50,C,D,0.6096,True,0.0100
1001,1,50,D,C,0.6113,True,0.0100
1001,1,51,A,B,0.5950,True,0.0100
1001,1,51,B,A,0.5470,True,0.0100
1001,1,51,A,C,0.5827,True,0.0100
1001,1,51,C,A,0.5609,True,0.0100
1001,1,51,B,D,0.5860,True,0.0100
1001,1,51,D,B,0.5895,True,0.0100
1001,1,51,C,D,0.6041,True,0.0100
1001,1,51,D,C,0.5736,True,0.0100
1001,1,52,A,B,0.5925,True,0.0100
1001,1,52,B,A,0.5938,True,0.0100
1001,1,52,A,C,0.5922,True,0.0100
1001,1,52,C,A,0.5798,True,0.0100
1001,1,52,B,D,0.6273,True,0.0100
1001,1,52,D,B,0.6078,True,0.0100
1001,1,52,C,D,0.6203,True,0.0100
1001,1,52,D,C,0.6107,True,0.0100
1001,1,53,A,B,0.5855,True,0.0100
1001,1,53,B,A,0.5912,True,0.0100
1001,1,53,A,C,0.5687,True,0.0100
1001,1,53,C,A,0.6032,True,0.0100
1001,1,53,B,D,0.5947,True,0.0100
1001,1,53,D,B,0.6341,True,0.0100
1001,1,53,C,D,0.6103,True,0.0100
1001,1,53,D,C,0.6226,True,0.0100
1001,1,54,A,B,0.5464,True,0.0100
1001,1,54,B,A,0.5820,True,0.0100
1001,1,54,A,C,0.5387,True,0.0100
1001,1,54,C,A,0.5783,True,0.0100
1001,1,54,B,D,0.6021,True,0.0100
1001,1,54,D,B,0.6006,True,0.0100
1001,1,54,C,D,0.6023,True,0.0100
1001,1,54,D,C,0.5857,True,0.0100
1001,1,55,A,B,0.5465,True,0.0100
1001,1,55,B,A,0.5657,True,0.0100
1001,1,55,A,C,0.5523,True,0.0100
1001,1,55,C,A,0.5580,True,0.0100
1001,1,55,B,D,0.6075,True,0.0100
1001,1,55,D,B,0.5839,True,0.0100
1001,1,55,C,D,0.6003,True,0.0100
1001,1,55,D,C,0.5865,True,0.0100
1001,1,56,A,B,0.5772,True,0.0100
1001,1,56,B,A,0.6093,True,0.0100
1001,1,56,A,C,0.5697,True,0.0100
1001,1,56,C,A,0.6010,True,0.0100
1001,1,56,B,D,0.6349,True,0.0100
1001,1,56,D,B,0.6270,True,0.0100
1001,1,56,C,D,0.6305,True,0.0100
1001,1,56,D,C,0.6250,True,0.0100
1001,1,57,A,B,0.6009,True,0.0100
1001,1,57,B,A,0.5893,True,0.0100
1001,1,57,A,C,0.5650,True,0.0100
1001,1,57,C,A,0.6387,True,0.0100
1001,1,57,B,D,0.5945,True,0.0100
1001,1,57,D,B,0.6612,True,0.0100
1001,1,57,C,D,0.6434,True,0.0100
1001,1,57,D,C,0.6344,True,0.0100
1001,1,58,A,B,0.6256,True,0.0100
1001,1,58,B,A,0.5567,True,0.0100
1001,1,58,A,C,0.5682,True,0.0100
1001,1,58,C,A,0.6126,True,0.0100
1001,1,58,B,D,0.5757,True,0.0100
1001,1,58,D,B,0.6620,True,0.0100
1001,1,58,C,D,0.6372,True,0.0100
1001,1,58,D,C,0.6091,True,0.0100
1001,1,59,A,B,0.6139,True,0.0100
1001,1,59,B,A,0.5807,True,0.0100
1001,1,59,A,C,0.5813,True,0.0100
1001,1,59,C,A,0.6152,True,0.0100
1001,1,59,B,D,0.6056,True,0.0100
1001,1,59,D,B,0.6304,True,0.0100
1001,1,59,C,D,0.6421,True,0.0100
1001,1,59,D,C,0.5962,True,0.0100
1001,1,60,A,B,0.6194,True,0.0100
1001,1,60,B,A,0.6276,True,0.0100
1001,1,60,A,C,0.5985,True,0.0100
1001,1,60,C,A,0.6428,True,0.0100
1001,1,60,B,D,0.6375,True,0.0100
1001,1,60,D,B,0.6410,True,0.0100
1001,1,60,C,D,0.6560,True,0.0100
1001,1,60,D,C,0.6209,True,0.0100
1001,1,61,A,B,0.6128,True,0.0100
1001,1,61,B,A,0.6277,True,0.0100
1001,1,61,A,C,0.6072,True,0.0100
1001,1,61,C,A,0.6402,True,0.0100
1001,1,61,B,D,0.6170,True,0.0100
1001,1,61,D,B,0.6505,True,0.0100
1001,1,61,C,D,0.6318,True,0.0100
1001,1,61,D,C,0.6491,True,0.0100
1001,1,62,A,B,0.5819,True,0.0100
1001,1,62,B,A,0.5784,True,0.0100
1001,1,62,A,C,0.5887,True,0.0100
1001,1,62,C,A,0.5709,True,0.0100
1001,1,62,B,D,0.6064,True,0.0100
1001,1,62,D,B,0.6165,True,0.0100
1001,1,62,C,D,0.5986,True,0.0100
1001,1,62,D,C,0.6204,True,0.0100
1001,1,63,A,B,0.5805,True,0.0100
1001,1,63,B,A,0.5602,True,0.0100
1001,1,63,A,C,0.5579,True,0.0100
1001,1,63,C,A,0.5709,True,0.0100
1001,1,63,B,D,0.5951,True,0.0100
1001,1,63,D,B,0.6125,True,0.0100
1001,1,63,C,D,0.6080,True,0.0100
1001,1,63,D,C,0.5885,True,0.0100
1001,1,64,A,B,0.6058,True,0.0100
1001,1,64,B,A,0.6039,True,0.0100
1001,1,64,A,C,0.5765,True,0.0100
1001,1,64,C,A,0.6283,True,0.0100
1001,1,64,B,D,0.6151,True,0.0100
1001,1,64,D,B,0.6380,True,0.0100
1001,1,64,C,D,0.6471,True,0.0100
1001,1,64,D,C,0.6087,True,0.0100
1001,1,65,A,B,0.5750,True,0.0100
1001,1,65,B,A,0.6222,True,0.0100
1001,1,65,A,C,0.5520,True,0.0100
1001,1,65,C,A,0.6470,True,0.0100
1001,1,65,B,D,0.6281,True,0.0100
1001,1,65,D,B,0.6166,True,0.0100
1001,1,65,C,D,0.6573,True,0.0100
1001,1,65,D,C,0.6017,True,0.0100
1001,1,66,A,B,0.5613,True,0.0100
1001,1,66,B,A,0.6014,True,0.0100
1001,1,66,A,C,0.5486,True,0.0100
1001,1,66,C,A,0.6042,True,0.0100
1001,1,66,B,D,0.6210,True,0.0100
1001,1,66,D,B,0.5865,True,0.0100
1001,1,66,C,D,0.6204,True,0.0100
1001,1,66,D,C,0.5708,True,0.0100
1001,1,67,A,B,0.5543,True,0.0100
1001,1,67,B,A,0.5616,True,0.0100
1001,1,67,A,C,0.5688,True,0.0100
1001,1,67,C,A,0.5486,True,0.0100
1001,1,67,B,D,0.6061,True,0.0100
1001,1,67,D,B,0.5712,True,0.0100
1001,1,67,C,D,0.5911,True,0.0100
1001,1,67,D,C,0.5800,True,0.0100
1001,1,68,A,B,0.5636,True,0.0100
1001,1,68,B,A,0.5747,True,0.0100
1001,1,68,A,C,0.5867,True,0.0100
1001,1,68,C,A,0.5884,True,0.0100
1001,1,68,B,D,0.5968,True,0.0100
1001,1,68,D,B,0.6118,True,0.0100
1001,1,68,C,D,0.6153,True,0.0100
1001,1,68,D,C,0.6436,True,0.0100
1001,1,69,A,B,0.6006,True,0.0100
1001,1,69,B,A,0.5507,True,0.0100
1001,1,69,A,C,0.6010,True,0.0100
1001,1,69,C,A,0.6100,True,0.0100
1001,1,69,B,D,0.5633,True,0.0100
1001,1,69,D,B,0.6366,True,0.0100
1001,1,69,C,D,0.6194,True,0.0100
1001,1,69,D,C,0.6447,True,0.0100
1001,1,70,A,B,0.5629,True,0.0100
1001,1,70,B,A,0.5547,True,0.0100
1001,1,70,A,C,0.5943,True,0.0100
1001,1,70,C,A,0.5584,True,0.0100
1001,1,70,B,D,0.5805,True,0.0100
1001,1,70,D,B,0.5730,True,0.0100
1001,1,70,C,D,0.5828,True,0.0100
1001,1,70,D,C,0.6049,True,0.0100
1001,1,71,A,B,0.5984,True,0.0100
1001,1,71,B,A,0.5414,True,0.0100
1001,1,71,A,C,0.5847,True,0.0100
1001,1,71,C,A,0.5682,True,0.0100
1001,1,71,B,D,0.5706,True,0.0100
1001,1,71,D,B,0.6031,True,0.0100
1001,1,71,C,D,0.5956,True,0.0100
1001,1,71,D,C,0.5833,True,0.0100
1001,1,72,A,B,0.6013,True,0.0100
1001,1,72,B,A,0.5734,True,0.0100
1001,1,72,A,C,0.5857,True,0.0100
1001,1,72,C,A,0.6072,True,0.0100
1001,1,72,B,D,0.5742,True,0.0100
1001,1,72,D,B,0.6421,True,0.0100
1001,1,72,C,D,0.6100,True,0.0100
1001,1,72,D,C,0.6184,True,0.0100
1001,1,73,A,B,0.5847,True,0.0100
1001,1,73,B,A,0.5683,True,0.0100
1001,1,73,A,C,0.5681,True,0.0100
1001,1,73,C,A,0.5994,True,0.0100
1001,1,73,B,D,0.5696,True,0.0100
1001,1,73,D,B,0.6528,True,0.0100
1001,1,73,C,D,0.6005,True,0.0100
1001,1,73,D,C,0.6356,True,0.0100
1001,1,74,A,B,0.5895,True,0.0100
1001,1,74,B,A,0.5388,True,0.0100
1001,1,74,A,C,0.5532,True,0.0100
1001,1,74,C,A,0.5459,True,0.0100
1001,1,74,B,D,0.5923,True,0.0100
1001,1,74,D,B,0.6171,True,0.0100
1001,1,74,C,D,0.5982,True,0.0100
1001,1,74,D,C,0.5788,True,0.0100
1001,1,75,A,B,0.6046,True,0.0100
1001,1,75,B,A,0.5215,True,0.0100
1001,1,75,A,C,0.5625,True,0.0100
1001,1,75,C,A,0.5249,True,0.0100
1001,1,75,B,D,0.5804,True,0.0100
1001,1,75,D,B,0.6337,True,0.0100
1001,1,75,C,D,0.5834,True,0.0100
